"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=seminar_test.Elevator_Scheduler"
"main", "5", "seminar_test/Elevator_Scheduler.java:18", "Method Call", " caller=SYSTEM, target=seminar_test.Elevator_Scheduler#main:1"
"main", "6", "seminar_test/Elevator_Scheduler.java:16", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "seminar_test/Elevator_Scheduler.java:16", "New Object", " object=java.lang.String[]:1"
"main", "9", "seminar_test/Elevator_Scheduler.java:16", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, args=java.lang.String[]:1"
"main", "10", "seminar_test/Elevator_Scheduler.java:18", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=18"
"main", "11", "SYSTEM", "Type Load", " class=seminar_test.Elevator"
"main", "12", "seminar_test/Elevator_Scheduler.java:18", "New Object", " object=seminar_test.Elevator:1"
"main", "13", "seminar_test/Elevator_Scheduler.java:18", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Elevator:1#seminar_test.Elevator:1"
"main", "14", "seminar_test/Elevator_Scheduler.java:55", "Method Entered", " "
"main", "15", "seminar_test/Elevator_Scheduler.java:55", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=55"
"main", "16", "seminar_test/Elevator_Scheduler.java:56", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=56"
"main", "17", "seminar_test/Elevator_Scheduler.java:56", "Field Write", " context=seminar_test.Elevator:1, current_floor=0"
"main", "18", "seminar_test/Elevator_Scheduler.java:57", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=57"
"main", "19", "seminar_test/Elevator_Scheduler.java:57", "Field Write", " context=seminar_test.Elevator:1, direction=""up"""
"main", "20", "seminar_test/Elevator_Scheduler.java:58", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=58"
"main", "21", "seminar_test/Elevator_Scheduler.java:58", "Method Exit", " returner=seminar_test.Elevator:1#seminar_test.Elevator:1, value=<void>"
"main", "22", "seminar_test/Elevator_Scheduler.java:18", "Method Returned", " "
"main", "23", "seminar_test/Elevator_Scheduler.java:18", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=18"
"main", "24", "seminar_test/Elevator_Scheduler.java:18", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, E=seminar_test.Elevator:1"
"main", "25", "seminar_test/Elevator_Scheduler.java:20", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=20"
"main", "26", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "27", "SYSTEM", "Type Load", " class=seminar_test.Scheduler"
"main", "28", "seminar_test/Elevator_Scheduler.java:20", "New Object", " object=seminar_test.Scheduler:1"
"main", "29", "seminar_test/Elevator_Scheduler.java:20", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Scheduler:1#seminar_test.Scheduler:1"
"main", "30", "seminar_test/Elevator_Scheduler.java:113", "Method Entered", " "
"main", "31", "seminar_test/Elevator_Scheduler.java:113", "Variable Write", " context=seminar_test.Scheduler:1#seminar_test.Scheduler:1, e=seminar_test.Elevator:1"
"main", "32", "seminar_test/Elevator_Scheduler.java:113", "Variable Write", " context=seminar_test.Scheduler:1#seminar_test.Scheduler:1, floors=10"
"main", "33", "seminar_test/Elevator_Scheduler.java:113", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=113"
"main", "34", "seminar_test/Elevator_Scheduler.java:107", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=107"
"main", "35", "seminar_test/Elevator_Scheduler.java:107", "Field Write", " context=seminar_test.Scheduler:1, current_floor=0"
"main", "36", "seminar_test/Elevator_Scheduler.java:108", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=108"
"main", "37", "seminar_test/Elevator_Scheduler.java:108", "Field Write", " context=seminar_test.Scheduler:1, direction=""up"""
"main", "38", "seminar_test/Elevator_Scheduler.java:110", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=110"
"main", "39", "seminar_test/Elevator_Scheduler.java:110", "Field Write", " context=seminar_test.Scheduler:1, up=java.util.TreeSet (id=30)"
"main", "40", "seminar_test/Elevator_Scheduler.java:111", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=111"
"main", "41", "seminar_test/Elevator_Scheduler.java:111", "Field Write", " context=seminar_test.Scheduler:1, down=java.util.TreeSet (id=33)"
"main", "42", "seminar_test/Elevator_Scheduler.java:114", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=114"
"main", "43", "seminar_test/Elevator_Scheduler.java:114", "Field Write", " context=seminar_test.Scheduler:1, elevator=seminar_test.Elevator:1"
"main", "44", "seminar_test/Elevator_Scheduler.java:115", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=115"
"main", "45", "seminar_test/Elevator_Scheduler.java:115", "Field Write", " context=seminar_test.Scheduler:1, max=10"
"main", "46", "seminar_test/Elevator_Scheduler.java:116", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=116"
"main", "47", "seminar_test/Elevator_Scheduler.java:116", "Method Exit", " returner=seminar_test.Scheduler:1#seminar_test.Scheduler:1, value=<void>"
"main", "48", "seminar_test/Elevator_Scheduler.java:20", "Method Returned", " "
"main", "49", "seminar_test/Elevator_Scheduler.java:20", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=20"
"main", "50", "seminar_test/Elevator_Scheduler.java:20", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, S=seminar_test.Scheduler:1"
"main", "51", "seminar_test/Elevator_Scheduler.java:22", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=22"
"main", "52", "seminar_test/Elevator_Scheduler.java:22", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Elevator:1#set_Scheduler:1"
"main", "53", "seminar_test/Elevator_Scheduler.java:60", "Method Entered", " "
"main", "54", "seminar_test/Elevator_Scheduler.java:60", "Variable Write", " context=seminar_test.Elevator:1#set_Scheduler:1, S=seminar_test.Scheduler:1"
"main", "55", "seminar_test/Elevator_Scheduler.java:61", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=61"
"main", "56", "seminar_test/Elevator_Scheduler.java:61", "Field Write", " context=seminar_test.Elevator:1, S=seminar_test.Scheduler:1"
"main", "57", "seminar_test/Elevator_Scheduler.java:62", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=62"
"main", "58", "seminar_test/Elevator_Scheduler.java:62", "Method Exit", " returner=seminar_test.Elevator:1#set_Scheduler:1, value=<void>"
"main", "59", "seminar_test/Elevator_Scheduler.java:22", "Method Returned", " "
"main", "60", "seminar_test/Elevator_Scheduler.java:24", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=24"
"main", "61", "SYSTEM", "Type Load", " class=seminar_test.Person"
"main", "62", "seminar_test/Elevator_Scheduler.java:24", "New Object", " object=seminar_test.Person:1"
"main", "63", "seminar_test/Elevator_Scheduler.java:24", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:1#seminar_test.Person:1"
"main", "64", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "65", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:1#seminar_test.Person:1, name=""A"""
"main", "66", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:1#seminar_test.Person:1, S=seminar_test.Scheduler:1"
"main", "67", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "68", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "69", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:1, from=0"
"main", "70", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "71", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:1, to=0"
"main", "72", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "73", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:1, name=""A"""
"main", "74", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
"main", "75", "seminar_test/Elevator_Scheduler.java:86", "Field Write", " context=seminar_test.Person:1, S=seminar_test.Scheduler:1"
"main", "76", "seminar_test/Elevator_Scheduler.java:87", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=87"
"main", "77", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:1#seminar_test.Person:1, value=<void>"
"main", "78", "seminar_test/Elevator_Scheduler.java:24", "Method Returned", " "
"main", "79", "seminar_test/Elevator_Scheduler.java:24", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=24"
